brand,n_replies,dm_punt_rate,median_reply_chars,ascii_frac,n_answers_to_customer,n_inbound_mentions,reply_rate,groundable_replies
AmazonHelp,169840,0.0065,124,0.9552,169287,135287,1.255,168186
AppleSupport,106860,0.5251,130,0.9984,106719,97928,1.091,50680
Uber_Support,56270,0.3531,104,0.9999,56261,46659,1.206,36395
Delta,42253,0.1646,95,0.9982,42197,45291,0.933,35251
SpotifyCares,43265,0.3086,127,0.9975,43243,31364,1.379,29898
AmericanAir,36764,0.1888,103,0.9999,36598,49629,0.741,29688
Tesco,38573,0.2683,157,0.9992,38501,34062,1.132,28171
VirginTrains,27817,0.0261,85,0.9982,27522,37439,0.743,26803
British_Airways,29361,0.14,116,0.9993,29315,30872,0.951,25210
SouthwestAir,28977,0.1697,114,0.9997,28889,35136,0.825,23986
hulu_support,21872,0.0054,134,0.998,21783,18616,1.175,21665
XboxSupport,24557,0.2093,115,0.9999,24341,28131,0.873,19246
GWRHelp,19364,0.0142,108,0.9999,19294,27080,0.715,19020
ChipotleTweets,18749,0.0114,68,0.9983,18612,21816,0.859,18399
VerizonSupport,17966,0.1168,82,0.9999,17851,17946,1.001,15766
sainsburys,19466,0.2304,118,0.9997,19417,22878,0.851,14943
AskPlayStation,19098,0.2768,101,0.9985,18694,22270,0.858,13519
ATVIAssist,17650,0.2371,114,0.9998,17531,24747,0.713,13374
Ask_Spectrum,25860,0.495,129,0.9996,25807,23689,1.092,13032
Safaricom_Care,16077,0.1924,80,0.9999,15471,17304,0.929,12494
idea_cares,15724,0.2057,129,1.0,15617,15937,0.987,12404
BofA_Help,12683,0.0639,109,0.9988,12654,6054,2.095,11845
SW_Help,12231,0.0071,105,0.9999,11792,15769,0.776,11708
sprintcare,22381,0.4783,113,0.9995,22335,13752,1.627,11652
O2,16212,0.282,116,0.9907,16091,19528,0.83,11553
AskAmex,11358,0.0159,99,0.9995,11111,8920,1.273,10934
AirAsiaSupport,12829,0.174,115,0.9997,12735,12998,0.987,10519
MicrosoftHelps,11304,0.0781,129,0.9988,11223,10615,1.065,10346
